"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date"
"2178","Foundersuite","Software","San Francisco, California, United States","Operating",,2015-01-28,16,"SaaS, Enterprise Software, Small and Medium Businesses","1-10",2,1,2015-06-01,0,"Seed",0,0,0,4,0,,,,,
"2179","Fashinating","Media and Entertainment, Content and Publishing, Design","Larnaka, Larnaca, Cyprus","Closed",,2009-09-01,6,"Fashion, News","1-10",2,2,2011-08-01,0,"Angel",0,134277,134277,3,0,,,,,
"2180","Factory Berlin","Real Estate","Berlin, Berlin, Germany","Operating",,2011-01-01,17,"Real Estate, Coworking","11-50",5,,,0,,0,0,0,,,,,,,
"2181","Friend Trip","Travel and Tourism, Hardware","Seoul, Seoul-t'ukpyolsi, South Korea","Operating",,2014-01-01,,"Travel, Communication Hardware, Social",,0,1,2015-11-18,1200000,"Seed",1200000,1200000,1200000,1,1,,,,,
"2182","Fashupp","Commerce and Shopping","Delhi, Delhi, India","Operating",,2013-12-01,,"E-Commerce","1-10",0,1,2014-05-01,20000,"Seed",20000,20000,20000,1,0,,,,,
"2183","FoodShare","Food and Beverage","Bloomfield, Connecticut, United States","Operating",,1982-01-01,,"Food Processing","101-250",0,1,2016-03-22,1e+05,"Seed",1e+05,1e+05,1e+05,,,,,,,
"2184","FidusNet","Health Care, Mobile","Hawthorne, New York, United States","Operating",,2009-01-01,,"Medical, Health Care, mHealth",,0,2,2010-02-16,1100000,"Series Unknown",1100000,1400000,1400000,,,,,,,
"2185","FinScale","Manufacturing, Science and Engineering, Hardware","Dublin, California, United States","Operating",,2014-01-01,,"Consulting, Manufacturing, Semiconductor","1-10",0,1,2015-08-28,30000,"Debt Financing",0,0,30000,,,,,,,
"2186","Fashwell AG","Commerce and Shopping, Data and Analytics, Software, Internet Services","ZÃ¼rich, Zurich, Switzerland","Operating",,2014-09-30,,"E-Commerce, Shopping, Machine Learning, Visual Search","1-10",1,2,2015-06-26,0,"Seed",0,1070404,1070404,1,0,,,,,
"2187","Fluxedo","Financial Services, Lending and Investments","Lomazzo, Lombardia, Italy","Operating",,2014-07-14,,"Incubators","1-10",5,1,2014-01-01,0,"Seed",0,68839,68839,,,,,,,
"2188","FRM Study Course","Education","New York, New York, United States","Operating",,2013-06-01,1,"Risk Management, Education, Training",,1,2,2015-03-08,0,"Seed",0,50000,50000,1,0,,,,,
"2189","Forkforce","Travel and Tourism, Food and Beverage, Professional Services","Madison, Wisconsin, United States","Closed",,2013-06-01,4,"Employment, Hospitality, Restaurants, Food and Beverage","1-10",2,2,2014-05-20,250000,"Seed",250000,350000,350000,1,0,,,,,
"2190","Futubank","Internet Services, Financial Services, Lending and Investments","Moscow, Moscow City, Russian Federation","Operating",,2012-01-01,,"Financial Services, Banking, Internet",,0,1,2013-12-23,3e+05,"Seed",3e+05,3e+05,3e+05,2,0,,,,,
"2191","Findmework Limited","Administrative Services, Professional Services","London, England, United Kingdom","Operating",,2014-11-14,,"Employment, Staffing Agency, Recruiting",,1,2,2013-12-01,20000,"Seed",20000,50000,50000,1,0,,,,,
"2192","Flirq","Media and Entertainment, Internet Services","Philadelphia, Pennsylvania, United States","Operating",,2011-09-01,,"Social Media","11-50",1,2,2012-02-01,30000,"Seed",30000,50000,50000,1,0,,,,,
"2193","Fitness22","Platforms, Apps, Software, Sports, Health Care, Mobile","Petah Tiqwa, HaMerkaz, Israel","Operating",,2011-01-01,8,"Health Care, Fitness, Apps, iOS, Mobile","11-50",1,,,0,,0,0,0,,,,,,,
"2194","Flareo","Internet Services","Berkeley, California, United States","Closed",2011-01-01,2010-04-01,,"Search Engine","1-10",0,1,2011-10-22,7e+05,"Angel",7e+05,7e+05,7e+05,,,,,,,
"2195","FreeTextbooks","Commerce and Shopping, Education","Birmingham, Alabama, United States","Operating",,2011-01-01,5,"Education, Knowledge Management, Rental","11-50",1,,,0,,0,0,0,,,,,,,
"2196","Flypost.co","Data and Analytics, Mobile",,"Operating",,2009-01-01,,"Mobile, Big Data","1-10",0,2,2011-01-01,0,"Seed",0,247755,247755,,,,,,,
"2197","Fidelithon Systems","Platforms, Hardware, Information Technology, Consumer Electronics, Software, Internet Services, Mobile","San Jose, California, United States","Operating",,2009-11-01,,"Cloud Data Services, Cloud Computing, iOS, Mobile, Mobile Devices, Android","1-10",1,1,2010-04-01,250000,"Seed",250000,250000,250000,,,,,,,
"2198","Friendz","Apps, Software, Sales and Marketing, Advertising","Malnate, Lombardia, Italy","Operating",,2015-07-28,,"Social Media Marketing, Apps, Advertising","1-10",4,2,2016-07-20,0,"Seed",0,397421,397421,1,0,,,,,
"2199","FRENCHERY.COM, The World's Best Foods. Delivered.","Food and Beverage, Transportation","San Francisco, California, United States","Operating",,2016-03-01,,"Food Delivery","1-10",0,,,0,,0,0,0,,,,,,,
"2200","Ferus Bestia","Information Technology, Software, Internet Services, Privacy and Security, Mobile","Helsinki, Southern Finland, Finland","Operating",,2012-09-18,,"Cyber Security, SaaS, Security, Mobile, Cloud Data Services, Cloud Computing, Enterprise Software","11-50",0,2,2014-02-09,0,"Seed",0,130409,130409,,,,,,,
"2201","FailGo Solutions","Sales and Marketing, Advertising","Varanasi, Uttar Pradesh, India","Operating",,2015-01-01,,"Advertising, Consulting, Social Media Marketing","1-10",1,1,2015-01-01,0,"Seed",0,1578,1578,,,,,,,
"2202","Flatiron, Inc.","Apps, Software, Internet Services, Mobile","Boulder, Colorado, United States","Operating",,2017-01-01,1,"Mobile Apps, Peer to Peer, Social Network","1-10",1,,,0,,0,0,0,,,,,,,
"2203","FABERNOVEL","Media and Entertainment, Information Technology","Paris, Ile-de-France, France","Operating",,2003-09-01,19,"Consulting, Information Services, Advice","51-100",1,,,0,,0,0,0,,,,,,,
"2204","Foundr Magazine","Media and Entertainment, Education","Melbourne, Victoria, Australia","Operating",,2013-03-05,14,"Small and Medium Businesses, Digital Media, Education","11-50",1,,,0,,0,0,0,,,,,,,
"2205","Fandom","Hardware, Consumer Electronics, Consumer Goods, Design","Alvin, Texas, United States","Operating",,2015-01-21,,"Toys, Fashion, Wearables","1-10",0,1,2015-01-21,0,"Convertible Note",0,0,0,,,,,,,
"2206","Fribi","Media and Entertainment, Internet Services","Oslo, Oslo, Norway","Operating",,2011-09-30,2,"Social Media","1-10",2,,,0,,0,0,0,,,,,,,
"2207","Filmmortal","Sales and Marketing, Advertising","Mountain View, California, United States","Operating",,2008-08-10,5,"Brand Marketing, Advertising","1-10",1,3,2010-08-18,40000,"Angel",40000,155000,155000,,,,,,,
"2208","Fanergies","Manufacturing, Energy, Sustainability","Austin, Texas, United States","Operating",,2013-01-01,,"Energy, Manufacturing, Waste Management","11-50",0,1,2014-07-17,3e+05,"Series Unknown",3e+05,3e+05,3e+05,,,,,,,
"2209","First Growth Venture Network","Software, Transportation, Education, Financial Services, Lending and Investments","New York, New York, United States","Operating",,2009-01-01,11,"Education, EdTech, Incubators, Venture Capital, Automotive",,1,,,0,,0,0,0,,,,,,,
"2210","Fantastic.cl","Commerce and Shopping","Santiago, Region Metropolitana, Chile","Operating",,2005-01-01,,"E-Commerce",,1,1,2012-10-25,40000,"Seed",40000,40000,40000,1,0,,,,,
"2211","flyiin","Travel and Tourism","Berlin, Berlin, Germany","Operating",,2015-09-01,,"Travel","1-10",3,,,0,,0,0,0,,,,,,,
"2212","Funders and Founders","Education, Financial Services, Lending and Investments","San Francisco, California, United States","Operating",,2011-10-06,6,"Education, Incubators, Finance","1-10",2,,,0,,0,0,0,,,,,,,
"2213","Felcana","Hardware, Consumer Electronics, Community and Lifestyle, Health Care","London, England, United Kingdom","Operating",,2016-04-01,,"Veterinary, Consumer Electronics, Pet","1-10",1,1,2016-11-02,0,"Non-equity Assistance",0,0,0,1,0,,,,,
"2214","Founders Network","Community and Lifestyle, Software, Professional Services","San Francisco, California, United States","Operating",,,3,"Enterprise Software, Professional Networking",,1,,,0,,0,0,0,,,,,,,
"2215","Flicked","Media and Entertainment, Content and Publishing, Mobile",,"Operating",,,,"Mobile, Publishing, Content","1-10",2,1,2015-01-01,1e+05,"Seed",1e+05,1e+05,1e+05,,,,,,,
"2216","Founderkit","Professional Services",,"Operating",,2016-01-01,1,"Management Consulting, Professional Services, Business Development",,2,,,0,,0,0,0,,,,,,,
"2217","Flume","Natural Resources",,"Operating",,2014-09-01,,"Water, Real Time","1-10",0,,,0,,0,0,0,,,,,,,
"2218","Fabrily","Commerce and Shopping, Financial Services, Design",,"Was Acquired",,2013-01-01,1,"Retail, Fashion, Crowdfunding","11-50",1,,,0,,0,0,0,,,,,,,
"2219","For Art's Sake Media","Media and Entertainment, Data and Analytics, Software",,"Closed",2010-11-19,2007-10-01,,"Image Recognition, Art","1-10",0,1,2008-01-01,1e+05,"Angel",1e+05,1e+05,1e+05,,,,,,,
"2220","Fleet Impact","Transportation","Paris, Ile-de-France, France","Operating",,2013-08-01,,"Fleet Management, Transportation, Public Transportation","1-10",2,,,0,,0,0,0,,,,,,,
"2221","Faclon Labs","Hardware, Consumer Electronics, Software, Internet Services","Mumbai, Maharashtra, India","Operating",,2016-06-13,2,"Software, Cloud Computing, Computer","1-10",3,1,2016-10-20,0,"Seed",0,0,0,1,0,,,,,
"2222","FastFilmz","Media and Entertainment, Video, Content and Publishing","Bangalore, Karnataka, India","Operating",,2015-01-01,,"Video on Demand, Media and Entertainment, Video Streaming","11-50",0,1,2015-07-01,0,"Seed",0,0,0,1,0,,,,,
"2223","FirstString","Sports","Costa Mesa, California, United States","Closed",,2008-01-01,1,"Sports, Soccer","11-50",1,1,2008-03-01,2e+05,"Angel",2e+05,2e+05,2e+05,,,,,,,
"2224","Fixir","Mobile","Singapore, Central Region, Singapore","Operating",,2015-08-01,1,"Mobile","1-10",0,1,2016-03-01,30000,"Series Unknown",30000,21342,21342,2,0,,,,,
"2225","First Round",,"RiihimÃ¤ki, Southern Finland, Finland","Operating",,2007-08-01,12,"Consulting",,0,,,0,,0,0,0,,,,,,,
"2226","famebook","Media and Entertainment, Sales and Marketing, Financial Services, Lending and Investments, Advertising","San Francisco, California, United States","Operating",,2008-06-01,1,"Venture Capital, Advertising, Celebrity, Brand Marketing","1-10",1,,,0,,0,0,0,,,,,,,
"2227","Fullonwedding","Media and Entertainment, Events, Community and Lifestyle, Software","Bangalore, Karnataka, India","Operating",,2015-04-01,,"Events, Wedding, Local Business, B2C, Consumer Software","1-10",3,,,0,,0,0,0,,,,,,,
"2228","ForexFactory","Media and Entertainment, Content and Publishing, Financial Services, Lending and Investments","Tampa, Florida, United States","Operating",,2004-01-01,,"Finance, Stock Exchanges, News","1-10",0,,,0,,0,0,0,,,,,,,
"2229","flightSpeak","Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Transportation, Advertising","Kirkland, Washington, United States","Operating",,2013-01-01,1,"Business Intelligence, Software, Advertising, In-Flight Entertainment, Transportation","1-10",1,,,0,,0,0,0,,,,,,,
"2230","Fibriant","Biotechnology, Science and Engineering, Health Care","Leiden, Zuid-Holland, The Netherlands","Operating",,,,"Biopharma, Biotechnology, Medical",,2,1,2017-01-13,0,"Seed",0,316987,316987,1,1,,,,,
"2231","Flashbulb Games",,"Copenhagen, Hovedstaden, Denmark","Operating",,,,,,0,1,2017-01-25,0,"Funding Round",0,1469915,1469915,1,1,,,,,
"2232","Finbud Financial Services(Finance Buddha)","Financial Services","Bangalore, Karnataka, India","Operating",,2012-01-01,,"Finance, Financial Services, FinTech",,0,1,2016-03-07,0,"Seed",0,0,0,1,0,,,,,
"2233","FlatFurnish","Hardware, Consumer Electronics, Sports, Consumer Goods","Gurgaon, Haryana, India","Operating",,2015-01-01,7,"Furniture, Electronics, Consumer Electronics, Fitness","1-10",2,1,2016-01-05,0,"Seed",0,0,0,1,0,,,,,
"2234","Fourleaf Networks Inc","Commerce and Shopping, Community and Lifestyle, Software, Education","Stanford, California, United States","Operating",,2013-01-01,,"EdTech, Communities, Marketplace","1-10",2,,,0,,0,0,0,,,,,,,
"2235","Friendsvow","Media and Entertainment, Software, Payments, Internet Services, Financial Services, Lending and Investments, Mobile","San Francisco, California, United States","Operating",,2011-03-05,,"FinTech, Social Media, Financial Services, Mobile Payments, Credit","1-10",1,,,0,,0,0,0,,,,,,,
"2236","Fibersail","Energy, Sustainability","Porto Salvo, Lisboa, Portugal","Operating",,2015-08-19,,"Renewable Energy","1-10",1,1,2016-04-01,0,"Seed",0,272628,272628,2,0,,,,,
"2237","Furcifer","Hardware, Consumer Electronics","Menlo Park, California, United States","Operating",,2015-01-01,,"Consumer Electronics",,0,1,2015-09-20,0,"Series Unknown",0,0,0,2,0,,,,,
"2238","Founder Labs","Financial Services, Lending and Investments, Mobile","New York, New York, United States","Operating",,2011-03-01,18,"Mobile, Incubators","1-10",1,,,0,,0,0,0,,,,,,,
"2239","fitli","Sports, Health Care, Mobile","Castle Rock, Colorado, United States","Operating",,2015-01-01,,"Mobile, Fitness, Health Care","1-10",3,,,0,,0,0,0,,,,,,,
"2240","Foundups Corp","Transportation","Washington, District of Columbia, United States","Operating",,2010-02-10,,"Consulting, Automotive","11-50",4,,,0,,0,0,0,,,,,,,
"2241","Founder Showcase","Media and Entertainment, Events",,"Operating",,2009-01-01,41,"Events",,0,,,0,,0,0,0,,,,,,,
"2242","Filter Squad","Platforms, Apps, Media and Entertainment, Music and Audio, Software, Internet Services, Mobile","Perth, Western Australia, Australia","Operating",,2011-01-14,12,"Apps, Ediscovery, iOS, Music","1-10",2,2,2011-10-26,1100000,"Seed",1100000,1344657,1344657,3,3,,,,,
"2243","Foresight Valuation Group","Energy, Sustainability, Software, Professional Services, Internet Services, Financial Services, Mobile","Palo Alto, California, United States","Operating",,2010-01-01,11,"Finance, Software, Mobile, Clean Energy, Consulting, Intellectual Property, Internet","1-10",1,,,0,,0,0,0,,,,,,,
"2244","FrameBlast","Media and Entertainment, Sales and Marketing, Internet Services, Video, Content and Publishing, Advertising","London, England, United Kingdom","Operating",,2012-10-01,2,"Video, Photo Sharing, Advertising, Real Time, Content, Social Media","1-10",4,1,2012-12-01,0,"Seed",0,0,0,,,,,,,
"2245","Furywing","Sales and Marketing, Advertising","Carthage, Illinois, United States","Operating",,2012-01-01,,"Mobile Advertising","1-10",5,,,0,,0,0,0,,,,,,,
"2246","FUNDA","Software, Education, Internet Services","Portland, Oregon, United States","Operating",,2012-04-01,3,"Education, Internet, EdTech","1-10",1,,,0,,0,0,0,,,,,,,
"2247","Founder Centric","Professional Services, Education","London, England, United Kingdom","Operating",,2012-01-01,5,"Education, Legal, Tutoring","1-10",2,,,0,,0,0,0,,,,,,,
"2248","Formabilio","Commerce and Shopping, Consumer Goods","Cison Di Valmarino, Veneto, Italy","Operating",,2012-09-26,7,"E-Commerce, Innovation Management, Furniture","11-50",1,1,2014-05-07,0,"Series Unknown",0,0,0,1,1,,,,,
"2249","Fremont Forward","Media and Entertainment, Music and Audio, Software","Seattle, Washington, United States","Operating",,2007-01-01,,"Music, Developer Tools","1-10",1,,,0,,0,0,0,,,,,,,
"2250","Finupp","Financial Services","Tel Aviv, Tel Aviv, Israel","Operating",,2014-01-01,4,"Finance, Personal Finance, FinTech","1-10",3,,,0,,0,0,0,,,,,,,
"2251","findwell","Real Estate","Seattle, Washington, United States","Operating",,2008-01-01,3,"Real Estate","11-50",2,,,0,,0,0,0,,,,,,,
"2252","Friendslist","Community and Lifestyle, Professional Services, Financial Services","New York, New York, United States","Closed",,2011-01-01,6,"FinTech, Employment, Finance, Private Social Networking, Human Resources","11-50",2,,,0,,0,0,0,,,,,,,
"2253","Finologic Technologies Private Limited","Science and Engineering, Data and Analytics, Software, Mobile","Chennai, Tamil Nadu, India","Operating",,2015-01-29,1,"Artificial Intelligence, Machine Learning, Mobile","1-10",3,,,0,,0,0,0,,,,,,,
"2254","Frothmail","Media and Entertainment, Information Technology, Events, Sales and Marketing, Internet Services, Messaging and Telecommunications","San Diego, California, United States","Operating",,2008-08-01,,"Email, Public Relations, Events","1-10",3,,,0,,0,0,0,,,,,,,
"2255","FitFriend","Platforms, Software, Sports, Health Care, Mobile","Toronto, Ontario, Canada","Operating",,2013-05-01,1,"iOS, Mobile, Fitness, Health Care, Sports","1-10",1,,,0,,0,0,0,,,,,,,
"2256","FundingSMEs.com","Financial Services, Lending and Investments",,"Operating",,2013-01-01,10,"Venture Capital, Crowdfunding","11-50",1,,,0,,0,0,0,,,,,,,
"2257","FLO~","Software",,"Operating",,2011-11-01,,"Collaboration, Software","1-10",2,,,0,,0,0,0,,,,,,,
"2258","Found.ation","Software, Transportation, Education, Financial Services, Lending and Investments","Athens, Attiki, Greece","Operating",,2012-01-01,1,"SaaS, Enterprise Software, FinTech, Transportation, Consulting, Logistics, Incubators, Corporate Training","11-50",1,,,0,,0,0,0,,,,,,,
"2259","Foldees","Commerce and Shopping, Financial Services","Petaling Jaya, Selangor, Malaysia","Closed",2011-01-01,2007-08-31,2,"Gift Card, Crowdsourcing","1-10",0,1,2007-10-31,40000,"Seed",40000,40000,40000,,,,,,,
"2260","First Retail","Commerce and Shopping, Internet Services","San Francisco, California, United States","Operating",,2000-01-01,,"E-Commerce, Semantic Web","1-10",0,1,2006-06-14,0,"Private Equity",0,0,0,1,0,,,,,
"2261","Forestpin","Data and Analytics, Professional Services, Financial Services",,"Operating",,2015-07-03,2,"Accounting, Financial Services, Analytics","1-10",4,,,0,,0,0,0,,,,,,,
"2262","Fluid Education","Information Technology, Software, Education","Sydney, New South Wales, Australia","Operating",,2015-07-24,4,"Education, Software, Scheduling","1-10",1,2,2015-12-07,40000,"Seed",40000,29272,33108,3,0,,,,,
"2263","FoundOPS","Software","West Lafayette, Indiana, United States","Operating",,2011-01-01,1,"Software","11-50",0,,,0,,0,0,0,,,,,,,
"2264","Foggy Labs","Platforms, Apps, Software, Mobile","Curitiba, Parana, Brazil","Operating",,2011-01-01,,"Apps, iOS, Mobile, Software, Android","1-10",1,,,0,,0,0,0,,,,,,,
"2265","fournova","Apps, Software, Internet Services, Mobile","Stuttgart, Baden-Wurttemberg, Germany","Operating",,2010-08-01,,"Mobile, Internet, Apps, Software","1-10",0,,,0,,0,0,0,,,,,,,
"2266","Favorpals","Internet Services","San Francisco, California, United States","Operating",,2008-04-01,,"Internet","1-10",2,,,0,,0,0,0,,,,,,,
"2267","Famuza","Manufacturing, Data and Analytics, Software, Design","Tel Aviv, Tel Aviv, Israel","Closed",2015-01-12,2014-01-01,,"Predictive Analytics, Fashion, Manufacturing","1-10",1,,,0,,0,0,0,,,,,,,
"2268","FollowLater","Commerce and Shopping, Software, Mobile","Chicago, Illinois, United States","Operating",,,,"E-Commerce, Retail, Mobile, QR Codes","1-10",1,,,0,,0,0,0,,,,,,,
"2269","Fit Startup Factory","Financial Services","Istanbul, Istanbul, Turkey","Operating",,,1,"Finance",,0,,,0,,0,0,0,,,,,,,
"2270","Fruitbowl Media","Software","Canterbury, Kent, United Kingdom","Operating",,2011-05-17,,"Web Development","1-10",1,,,0,,0,0,0,,,,,,,
"2271","Findulum Techlabs Pvt Ltd","Mobile","Bangalore, Karnataka, India","Operating",,2013-11-21,2,"Mobile",,2,,,0,,0,0,0,,,,,,,
"2272","Freshle","Software, Health Care, Education","Saint Petersburg, Saint Petersburg City, Russian Federation","Operating",,2011-12-01,,"Health Care, EdTech, Education, Consulting","1-10",1,,,0,,0,0,0,,,,,,,
"2273","Fount","Information Technology, Financial Services","Seoul, Seoul-t'ukpyolsi, South Korea","Operating",,2015-01-01,,"Information Technology, Finance, Financial Services",,0,,,0,,0,0,0,,,,,,,
"2274","FaxCompare","Hardware, Software","Austin, Texas, United States","Operating",,2007-01-01,2,"Telecommunications, Software","11-50",1,,,0,,0,0,0,,,,,,,
"2275","FiveThirty","Software","Seoul, Seoul-t'ukpyolsi, South Korea","Operating",,2012-09-28,2,"Software","1-10",1,1,2013-11-01,0,"Seed",0,0,0,2,0,,,,,
"2276","Fundnstart","Internet Services, Financial Services","Macau, Macao, Asia","Operating",,2015-09-01,,"Small and Medium Businesses, Crowdfunding, Internet","1-10",1,,,0,,0,0,0,,,,,,,
"2277","Fundster","Financial Services","Houston, Texas, United States","Operating",,2014-04-01,,"Finance, Crowdfunding","11-50",2,,,0,,0,0,0,,,,,,,
"2278","Feeligreen","Health Care","Grasse, Provence-Alpes-Cote d'Azur, France","Operating",,2012-01-01,,"Medical","1-10",0,,,0,,0,0,0,,,,,,,
"2279","fruitful.io","Information Technology","South Yarra, Victoria, Australia","Operating",,2008-01-01,,"Information Technology","11-50",1,,,0,,0,0,0,,,,,,,
"2280","FounderWise","Education, Financial Services","Seattle, Washington, United States","Operating",,2009-10-01,2,"Financial Services, Training, Finance","1-10",1,,,0,,0,0,0,,,,,,,
"2281","Friendite","Media and Entertainment, Community and Lifestyle, Internet Services",,"Operating",,2012-12-01,3,"Lifestyle, Dating, Social Media","11-50",2,,,0,,0,0,0,,,,,,,
"2282","FCLOUDIT","Hardware, Information Technology, Software, Internet Services","Lisbon, Lisboa, Portugal","Operating",,2014-07-14,,"IT Management, Cloud Computing, Cloud Management, Cloud Infrastructure","1-10",1,,,0,,0,0,0,,,,,,,
"2283","Find Your Great Work","Media and Entertainment, Events, Professional Services, Internet Services","Delhi, Delhi, India","Operating",,2012-02-01,,"Events, Search Engine, Local, Employment",,0,,,0,,0,0,0,,,,,,,
"2284","Fab Lab London","Manufacturing, Hardware, Administrative Services, Design",,"Operating",,2014-09-01,2,"3D Printing, Product Design, Virtual Workforce, Hardware","1-10",2,,,0,,0,0,0,,,,,,,
"2285","Founded X",,,"Operating",,2014-11-12,2,"Service Industry, Social Innovation, Innovation Management","1-10",2,,,0,,0,0,0,,,,,,,
"2286","FÃ¡brica de Startups","Financial Services, Lending and Investments","Lisbon, Lisboa, Portugal","Operating",,,,"Venture Capital",,0,,,0,,0,0,0,,,,,,,
"2287","Fizeau Ads","Media and Entertainment, Sales and Marketing, Content and Publishing, Advertising","Skopje, Karpos, Macedonia","Operating",,2013-01-01,,"Advertising, Publishing, Ad Network","1-10",0,,,0,,0,0,0,,,,,,,
"2288","four53","Software","San Francisco, California, United States","Operating",,2012-04-01,,"Software","11-50",2,,,0,,0,0,0,,,,,,,
"2289","Fund Your Travel","Travel and Tourism, Sales and Marketing, Financial Services, Advertising",,"Operating",,2013-01-01,2,"Travel, Crowdfunding, Advertising, Crowdsourcing","1-10",0,,,0,,0,0,0,,,,,,,
"2290","FabFoundry","Media and Entertainment, Design, Mobile","New York, New York, United States","Operating",,2015-02-11,,"Mobile, Product Design, Digital Media","1-10",1,,,0,,0,0,0,,,,,,,
"2291","Firefly Digital, Inc.","Apps, Software, Sales and Marketing, Education","Lafayette, Louisiana, United States","Operating",,1998-07-01,,"Software, Web Development, EdTech, Digital Marketing, Web Apps, Education","11-50",0,,,0,,0,0,0,,,,,,,
"2292","Friends Electric","Media and Entertainment, Sales and Marketing, Internet Services, Advertising","London, England, United Kingdom","Operating",,2009-11-01,,"SEO, Crowdsourcing, Advertising, Social Media","1-10",1,,,0,,0,0,0,,,,,,,
"2293","Footprint History","Platforms, Mobile","Woking, Surrey, United Kingdom","Operating",,2008-01-01,1,"Mobile, Facebook, Google","1-10",0,,,0,,0,0,0,,,,,,,
"2294","FitPass Group","Sports","Belgrade, Vojvodina, Serbia","Operating",,2014-09-12,,"Sports","51-100",3,,,0,,0,0,0,,,,,,,
"2295","Fitwall","Sports","Irvine, California, United States","Was Acquired",,2012-01-01,,"Fitness","11-50",0,1,2014-06-26,0,"Series Unknown",0,0,0,1,0,,,,,
"2296","fortunepick","Apps, Commerce and Shopping, Media and Entertainment, Software, Content and Publishing, Mobile","United Kingdom, Europe","Operating",,2012-01-15,,"Blogging Platforms, E-Commerce, Mobile Apps","1-10",1,,,0,,0,0,0,,,,,,,
"2297","FlexyMind","Gaming, Apps, Software, Education","Saint Petersburg, Saint Petersburg City, Russian Federation","Operating",,2011-01-01,,"Apps, Education, Gaming",,1,1,2014-04-06,0,"Series A",0,0,0,2,1,,,,,
"2298","Friendite Global Limited","Media and Entertainment, Information Technology","Awka, Anambra, Nigeria","Operating",,2012-12-01,1,"Digital Media, Information Technology, Service Industry","11-50",0,,,0,,0,0,0,,,,,,,
"2299","Freelancy","Data and Analytics, Software","Pattonville, Texas, United States","Operating",,2014-04-01,,"Software, Analytics","1-10",0,1,2014-09-20,0,"Equity Crowdfunding",0,0,0,,,,,,,
"2300","Funpresso","Gaming, Software","Seoul, Seoul-t'ukpyolsi, South Korea","Operating",,2013-01-22,,"Developer Tools, Gaming, Video Games","1-10",0,,,0,,0,0,0,,,,,,,
"2301","Fundality","Financial Services","San Francisco, California, United States","Operating",,2012-06-08,,"Crowdfunding, Crowdsourcing","1-10",1,,,0,,0,0,0,,,,,,,
"2302","FullForesome","Media and Entertainment, Events, Sports","Kansas City, Missouri, United States","Operating",,2010-01-01,,"Events, Sports",,0,,,0,,0,0,0,,,,,,,
"2303","Founder Bits","Information Technology, Community and Lifestyle","New York, New York, United States","Operating",,2013-04-01,,"Consulting, Communities, Information Services","1-10",1,,,0,,0,0,0,,,,,,,
"2304","Freewaalastore","Commerce and Shopping","Pune, Maharashtra, India","Operating",,2011-08-09,,"E-Commerce, Coupons","1-10",1,,,0,,0,0,0,,,,,,,
"2305","Funordie Ltd.","Gaming, Mobile",,"Operating",,2012-01-01,,"Mobile, Gambling","1-10",2,,,0,,0,0,0,,,,,,,
"2306","FUNNYPLAN","Software","Seoul, Seoul-t'ukpyolsi, South Korea","Operating",,2012-04-04,,"Software","1-10",1,,,0,,0,0,0,,,,,,,
"2307","Fixie","Software, Design","Seattle, Washington, United States","Operating",,2007-08-01,,"Software, Consulting, Web Design, Web Development","11-50",0,,,0,,0,0,0,,,,,,,
"2308","FlyFan","Commerce and Shopping, Community and Lifestyle, Design","Seoul, Seoul-t'ukpyolsi, South Korea","Operating",,2009-06-04,,"Lifestyle, E-Commerce, Fashion","11-50",0,,,0,,0,0,0,,,,,,,
"2309","Finch Australia","Financial Services","Melbourne, Victoria, Australia","Operating",,2016-01-01,,"Financial Services, Millennials","1-10",0,1,2016-12-05,0,"Non-equity Assistance",0,0,0,1,0,,,,,
"2310","FavForce","Media and Entertainment, Internet Services",,"Operating",,,,"Social Media","1-10",2,,,0,,0,0,0,,,,,,,
"2311","Fortnova","Software, Internet Services",,"Operating",,2009-01-05,,"Cloud Computing, Software","1-10",2,,,0,,0,0,0,,,,,,,
"2312","Flyover Innovations","Hardware","Olathe, Kansas, United States","Operating",,2013-01-01,,"Hardware","1-10",0,,,0,,0,0,0,,,,,,,
"2313","FabriXense","Hardware, Consumer Electronics","Tel Aviv-yafo, Tel Aviv, Israel","Operating",,2015-06-01,,"Wearables","1-10",0,,,0,,0,0,0,,,,,,,
"2314","Fuel Startup","Software","Chicago, Illinois, United States","Operating",,2011-01-01,,"Software","11-50",0,,,0,,0,0,0,,,,,,,
"2315","Funny","Travel and Tourism, Media and Entertainment, Data and Analytics, Events","PopayÃ¡n, Cordoba, Colombia","Operating",,2016-04-04,,"Reservations, Big Data, Tourism","1-10",1,,,0,,0,0,0,,,,,,,
"2316","Friendscrow","Financial Services","Los Angeles, California, United States","Operating",,2013-03-01,,"Finance","1-10",2,,,0,,0,0,0,,,,,,,
"2317","FERank","Data and Analytics",,"Operating",,2010-02-10,,"Analytics",,1,,,0,,0,0,0,,,,,,,
